City,Country,Latitude,Longitudes,Max_Temprature(F),Humidity(%),Windspeed(MPH),Cloudiness(%),Date
longyearbyen,SJ,85.37,20.38,48.20,87,11.41,75,2019-08-30
georgetown,SH,-21.96,-19.97,89.60,70,9.17,20,2019-08-30
broome,AU,-18.32,124.76,77.00,46,11.41,0,2019-08-30
norman wells,CA,62.67,-126.61,44.60,93,4.70,90,2019-08-30
hokitika,NZ,-40.12,167.78,44.81,79,3.87,63,2019-08-30
san nicolas,PH,14.80,119.17,78.80,88,3.36,90,2019-08-30
aksu,CN,42.12,80.37,62.60,48,11.18,0,2019-08-30
bintulu,MY,6.05,110.34,78.80,94,3.36,75,2019-08-30
gorgan,IR,36.84,54.74,78.80,57,9.17,0,2019-08-30
issenye,TZ,-1.81,34.38,83.51,68,4.21,0,2019-08-30
katsuura,JP,23.09,147.54,77.00,94,5.82,75,2019-08-30
saint george,BM,26.92,-57.68,87.80,25,9.17,0,2019-08-30
victoria,SC,-3.21,56.50,84.20,83,4.70,75,2019-08-30
srednekolymsk,RU,72.31,153.02,35.45,88,1.72,87,2019-08-30
cerro de pasco,PE,-10.52,-76.22,54.89,25,11.97,44,2019-08-30
matara,LK,5.06,80.69,82.40,65,4.70,75,2019-08-30
tignere,CM,8.15,12.30,68.75,94,1.83,99,2019-08-30
sargatskoye,RU,55.80,73.14,52.73,93,7.58,73,2019-08-30
saint anthony,CA,55.69,-56.49,73.99,63,11.41,75,2019-08-30
road town,VG,17.44,-64.68,87.80,66,9.17,20,2019-08-30
amnat charoen,TH,15.93,104.38,73.25,96,14.18,100,2019-08-30
bredasdorp,ZA,-81.63,18.94,57.20,54,14.99,39,2019-08-30
ngunguru,NZ,-31.07,178.90,48.99,92,9.73,82,2019-08-30
brae,GB,61.30,-0.98,57.20,87,16.11,20,2019-08-30
mbuji-mayi,CD,-6.13,23.25,75.20,69,9.17,75,2019-08-30
kichera,RU,55.69,110.13,48.77,79,4.72,67,2019-08-30
pitimbu,BR,-7.44,-26.52,78.80,78,13.87,75,2019-08-30
satara,IN,17.76,73.89,71.09,93,3.80,100,2019-08-30
bathsheba,BB,13.35,-55.39,87.80,70,10.29,20,2019-08-30
nyurba,RU,64.21,117.91,48.77,79,2.33,14,2019-08-30
gelemso,ET,8.30,40.17,69.29,63,9.08,57,2019-08-30
dabat,ET,12.94,37.44,69.11,84,2.19,31,2019-08-30
hollins,US,37.75,-80.07,86.00,53,4.38,1,2019-08-30
nanortalik,GL,56.76,-43.82,43.37,85,2.15,100,2019-08-30
airai,PW,14.08,144.59,65.51,67,4.81,24,2019-08-30
biltine,TD,15.49,19.28,91.43,41,6.60,4,2019-08-30
chokurdakh,RU,86.94,152.47,35.45,73,2.15,97,2019-08-30
zakan-yurt,RU,43.33,45.40,69.80,52,11.18,0,2019-08-30
mahebourg,MU,-49.43,81.34,72.00,73,10.29,20,2019-08-30
arlit,NE,19.60,5.16,102.05,16,1.92,18,2019-08-30
vytegra,RU,60.89,36.95,60.83,89,12.26,0,2019-08-30
bambanglipuro,ID,-13.08,109.78,73.79,86,17.98,11,2019-08-30
sovetskoye,RU,52.29,85.58,61.00,29,4.00,0,2019-08-30
puerto baquerizo moreno,EC,4.48,-88.07,75.20,73,14.99,75,2019-08-30
bol,TD,7.97,15.65,82.79,69,3.53,90,2019-08-30
vila velha,BR,-26.11,-27.59,86.00,51,21.92,20,2019-08-30
ancud,CL,-39.03,-93.54,46.40,87,2.24,75,2019-08-30
new norfolk,AU,-64.93,128.18,44.60,70,17.22,0,2019-08-30
havelock,US,34.72,-76.42,89.60,40,9.17,20,2019-08-30
punta alta,AR,-38.58,-61.51,89.60,40,6.93,0,2019-08-30
zharkent,KZ,43.34,79.90,53.99,65,2.62,0,2019-08-30
turukhansk,RU,62.66,87.54,45.53,70,9.33,93,2019-08-30
golfito,CR,8.41,-83.12,83.69,74,4.41,30,2019-08-30
kondinskoye,RU,59.99,68.33,48.59,72,19.04,98,2019-08-30
lebu,CL,-34.75,-86.01,57.77,84,2.46,97,2019-08-30
san jose,GT,6.88,-93.75,83.69,38,5.28,9,2019-08-30
inhambane,MZ,-22.98,35.75,75.20,83,13.87,20,2019-08-30
chimbote,PE,-13.03,-86.47,59.75,91,9.48,79,2019-08-30
riyadh,SA,21.92,44.55,98.60,20,2.24,0,2019-08-30
sarti,GR,39.93,24.26,78.83,58,0.40,7,2019-08-30
yeppoon,AU,-20.19,155.43,62.60,82,3.36,40,2019-08-30
halifax,CA,42.58,-61.64,82.00,54,10.29,20,2019-08-30
namibe,AO,-18.23,5.65,63.71,86,12.19,25,2019-08-30
vila franca do campo,PT,43.69,-22.12,75.20,78,14.99,20,2019-08-30
coruripe,BR,-13.89,-32.30,77.39,73,12.88,96,2019-08-30
karratha,AU,-21.57,116.82,67.67,78,15.64,0,2019-08-30
moron,MN,46.91,98.69,83.87,72,3.51,77,2019-08-30
doka,SD,14.68,35.35,78.83,82,6.98,81,2019-08-30
oshakati,NA,-18.32,15.53,77.57,16,11.23,0,2019-08-30
clyde river,CA,71.92,-64.73,44.60,93,21.92,75,2019-08-30
pangai,TO,-17.98,-178.48,70.37,76,24.09,76,2019-08-30
alenquer,BR,-1.41,-55.07,87.80,70,14.99,20,2019-08-30
pulsano,IT,39.96,17.11,86.00,83,12.75,20,2019-08-30
port hardy,CA,41.60,-140.86,53.60,100,5.82,90,2019-08-30
setermoen,NO,67.63,18.85,55.40,87,4.70,75,2019-08-30
nakhon thai,TH,17.22,100.90,73.79,98,3.98,100,2019-08-30
soe,ID,-11.23,125.11,68.00,94,4.70,16,2019-08-30
hami,CN,44.44,92.49,84.05,13,10.76,5,2019-08-30
aklavik,CA,78.89,-142.97,37.40,93,4.70,75,2019-08-30
sovetskiy,RU,57.01,48.42,44.09,84,7.11,3,2019-08-30
asahikawa,JP,43.95,142.30,58.49,98,4.59,58,2019-08-30
falmouth,US,40.55,-70.85,64.40,77,13.87,40,2019-08-30
portales,US,34.19,-103.38,89.01,35,3.36,1,2019-08-30
bitung,ID,0.34,125.88,71.60,88,3.36,20,2019-08-30
ponta delgada,PT,37.18,-25.79,75.20,78,14.99,20,2019-08-30
faanui,PF,-6.27,-149.85,78.47,66,8.88,28,2019-08-30
lompoc,US,26.26,-133.77,66.00,100,5.82,90,2019-08-30
flinders,AU,-34.92,129.66,57.00,100,5.82,90,2019-08-30
luba,GQ,3.77,8.39,75.05,92,1.95,99,2019-08-30
virtsu,EE,58.14,23.45,66.20,72,8.05,0,2019-08-30
roma,AU,-28.12,145.37,89.60,51,5.82,20,2019-08-30
alofi,NU,-16.57,-165.65,71.60,68,11.41,75,2019-08-30
nyagan,RU,62.35,65.59,45.53,72,8.79,90,2019-08-30
grindavik,IS,57.53,-24.09,51.80,76,20.80,75,2019-08-30
nantucket,US,40.13,-68.35,81.00,65,19.46,1,2019-08-30
nanakuli,US,14.85,-162.60,80.60,88,4.70,1,2019-08-30
lagoa,PT,50.81,-30.88,84.00,54,5.82,0,2019-08-30
dingle,IE,53.03,-15.21,74.51,81,1.86,100,2019-08-30
fortuna,US,36.92,-137.96,70.00,77,3.36,40,2019-08-30
daman,IN,20.60,72.34,82.61,83,13.42,32,2019-08-30
vila do maio,CV,14.46,-21.92,80.60,83,4.70,75,2019-08-30
hope,US,33.57,-93.57,89.01,69,12.75,75,2019-08-30
taguatinga,BR,-12.61,-46.67,87.01,30,4.70,20,2019-08-30
ahipara,NZ,-32.86,166.39,53.01,100,13.44,64,2019-08-30
talnakh,RU,80.45,90.67,48.20,93,4.47,75,2019-08-30
piacabucu,BR,-12.84,-33.68,78.11,72,11.36,100,2019-08-30
buchanan,LR,-0.17,-13.02,77.00,94,11.36,75,2019-08-30
sitka,US,51.30,-138.94,73.99,78,1.01,49,2019-08-30
doha,KW,29.71,45.22,100.40,60,3.36,0,2019-08-30
fuyu,CN,45.23,124.62,58.31,88,2.95,40,2019-08-30
warmbad,NA,-28.49,19.92,79.00,50,4.70,20,2019-08-30
nouakchott,MR,17.69,-16.26,91.40,59,17.22,40,2019-08-30
college,US,75.59,-145.91,48.00,93,1.83,1,2019-08-30
gisborne,NZ,-40.89,179.41,45.00,97,1.99,21,2019-08-30
chernyshevskiy,RU,63.19,111.73,48.05,93,2.10,21,2019-08-30
huimilpan,MX,20.30,-100.32,71.60,49,8.05,5,2019-08-30
stephenville,US,32.00,-98.21,64.99,93,17.22,90,2019-08-30
alindao,CF,5.27,21.45,71.45,95,2.95,100,2019-08-30
dhali,IN,10.45,77.16,77.00,83,9.17,40,2019-08-30
santa isabel do rio negro,BR,2.31,-64.45,94.13,41,3.36,44,2019-08-30
alghero,IT,39.98,7.00,84.20,62,8.05,20,2019-08-30
bandraboua,YT,-11.51,45.56,77.00,83,3.36,0,2019-08-30
narsaq,GL,84.21,-59.80,51.80,69,3.36,75,2019-08-30
ranong,TH,10.98,96.81,80.81,83,23.53,100,2019-08-30
estelle,US,26.73,-88.95,86.00,48,9.17,23,2019-08-30
inta,RU,65.46,59.82,42.29,78,12.30,90,2019-08-30
sault sainte marie,CA,46.01,-85.23,66.20,45,19.46,90,2019-08-30
cori,IT,41.63,12.87,89.60,51,5.82,20,2019-08-30
ossora,RU,58.76,163.20,48.23,89,4.43,100,2019-08-30
marienburg,SR,10.92,-53.66,80.60,57,4.70,75,2019-08-30
nambucca heads,AU,-31.03,153.99,50.00,93,2.24,9,2019-08-30
gat,LY,23.68,8.40,84.20,94,6.93,75,2019-08-30
ust-kulom,RU,61.03,53.32,39.41,81,4.09,0,2019-08-30
chifeng,CN,43.48,119.75,54.17,62,4.25,0,2019-08-30
jatiroto,ID,-9.02,111.06,65.87,96,3.02,13,2019-08-30
morondava,MG,-20.52,42.46,76.85,69,13.73,35,2019-08-30
mackay,AU,-17.77,152.99,51.80,93,3.36,90,2019-08-30
lakatoro,VU,-15.53,169.48,75.41,72,9.15,100,2019-08-30
teguldet,RU,57.94,87.48,62.45,95,5.50,52,2019-08-30
tual,ID,-7.74,135.64,74.51,85,18.50,17,2019-08-30
damavand,IR,35.79,51.81,86.00,20,6.93,20,2019-08-30
kokstad,ZA,-30.44,29.35,48.05,90,4.47,66,2019-08-30
weiser,US,45.05,-117.06,84.20,35,10.29,1,2019-08-30
almaznyy,RU,62.91,114.93,75.20,33,8.95,0,2019-08-30
kysyl-syr,RU,61.75,123.08,49.85,75,1.79,100,2019-08-30
svetlogorsk,RU,67.48,90.81,46.40,93,15.66,90,2019-08-30
loding,NO,67.53,14.70,78.01,61,4.70,40,2019-08-30
kearney,US,40.61,-99.34,72.00,82,6.93,90,2019-08-30
ironton,US,38.59,-82.81,84.99,58,8.05,1,2019-08-30
bereda,SO,13.23,53.34,84.99,69,6.93,20,2019-08-30
merritt island,US,29.01,-80.06,91.00,70,6.93,75,2019-08-30
delijan,IR,34.25,50.71,74.69,25,0.74,20,2019-08-30
vagur,FO,60.29,-7.78,50.93,89,22.19,65,2019-08-30
ponta do sol,PT,31.57,-19.35,83.69,27,5.99,0,2019-08-30
magdagachi,RU,53.97,125.87,48.77,76,5.57,0,2019-08-30
rawson,AR,-50.55,-55.82,54.53,35,18.52,96,2019-08-30
kaputa,ZM,-8.20,29.09,71.09,28,4.14,0,2019-08-30
waipawa,NZ,-44.05,175.30,43.00,83,2.26,24,2019-08-30
cabo san lucas,MX,21.71,-112.04,90.00,70,11.41,5,2019-08-30
mingshui,CN,36.89,117.30,77.03,91,7.23,99,2019-08-30
havre-saint-pierre,CA,57.37,-64.18,64.40,77,18.34,1,2019-08-30
padang,ID,-2.53,96.91,81.17,84,12.03,100,2019-08-30
yakeshi,CN,48.44,121.17,50.93,84,1.34,19,2019-08-30
souillac,MU,-62.81,76.85,91.00,31,3.36,0,2019-08-30
hofn,IS,62.14,-15.34,53.60,62,10.29,90,2019-08-30
nanfeng,CN,23.92,111.45,68.93,74,1.41,86,2019-08-30
jati,PK,24.50,68.37,86.03,75,9.26,76,2019-08-30
coihaique,CL,-49.12,-76.37,50.00,53,9.17,40,2019-08-30
north shore,NZ,-36.66,174.70,45.00,93,5.82,0,2019-08-30
henties bay,NA,-23.04,7.63,55.99,81,11.99,0,2019-08-30
makhinjauri,GE,41.51,41.67,73.40,83,8.05,75,2019-08-30
tiksi,RU,88.96,131.54,35.09,85,7.05,11,2019-08-30
batagay,RU,67.64,134.69,35.45,67,2.04,0,2019-08-30
ust-koksa,RU,50.45,85.55,48.41,84,6.78,62,2019-08-30
rumoi,JP,43.68,141.59,66.23,89,14.52,0,2019-08-30
abnub,EG,27.76,31.02,95.00,24,11.41,0,2019-08-30
buala,SB,-6.38,161.26,79.91,81,6.24,87,2019-08-30
trairi,BR,4.56,-34.58,92.51,32,11.70,94,2019-08-30
maldonado,UY,-34.81,-55.34,53.60,66,5.82,90,2019-08-30
haines junction,CA,59.01,-142.84,53.63,45,1.16,0,2019-08-30
lazaro cardenas,MX,15.02,-104.14,88.00,42,8.05,40,2019-08-30
kahului,US,26.84,-151.47,78.80,74,11.41,1,2019-08-30
sao joao da barra,BR,-31.50,-28.59,80.60,51,20.80,20,2019-08-30
siwana,IN,25.46,72.46,85.31,74,7.16,100,2019-08-30
anadyr,RU,63.51,175.68,50.00,93,15.66,20,2019-08-30
sheridan,US,45.18,-106.35,77.00,49,6.93,20,2019-08-30
pangody,RU,69.16,74.51,45.89,95,4.38,99,2019-08-30
tura,IN,25.69,90.21,40.31,81,1.01,10,2019-08-30
los llanos de aridane,ES,31.25,-21.92,77.00,73,14.99,75,2019-08-30
provideniya,RU,42.68,-179.22,44.09,88,8.93,100,2019-08-30
wloszczowa,PL,50.80,20.14,77.00,55,1.99,92,2019-08-30
honiara,SB,-13.99,157.35,75.20,100,2.24,75,2019-08-30
mount isa,AU,-20.85,139.99,57.20,22,6.93,0,2019-08-30
marawi,SD,21.51,26.16,78.01,87,5.01,84,2019-08-30
cajimos,PH,12.71,122.38,80.27,77,1.28,100,2019-08-30
kasur,PK,31.14,74.37,75.20,106,4.70,75,2019-08-30
ulaanbaatar,MN,48.22,105.42,48.20,81,4.47,0,2019-08-30
hobyo,SO,1.73,50.93,77.03,79,27.60,3,2019-08-30
gigmoto,PH,14.80,126.18,80.63,77,5.66,100,2019-08-30
isangel,VU,-19.53,171.85,74.33,83,15.35,100,2019-08-30
torrington,US,42.04,-104.17,69.80,59,14.99,74,2019-08-30
port keats,AU,-13.24,128.26,64.25,26,6.08,88,2019-08-30
abha,SA,18.43,41.12,77.00,73,8.05,20,2019-08-30
gaoua,BF,10.19,-3.72,79.73,81,3.74,76,2019-08-30
auki,SB,-6.12,163.67,78.11,81,7.20,71,2019-08-30
owando,CG,0.51,16.03,80.63,67,2.15,90,2019-08-30
tshela,CD,-4.91,12.43,74.15,77,4.45,74,2019-08-30
la ronge,CA,56.12,-105.69,59.00,72,3.36,20,2019-08-30
andalan,PH,6.11,121.45,74.87,82,3.09,67,2019-08-30
olinda,BR,-9.03,-30.61,46.00,93,5.82,0,2019-08-30
sioux lookout,CA,51.58,-91.36,60.80,67,8.05,90,2019-08-30
mayumba,GA,-4.33,10.44,72.71,87,9.51,100,2019-08-30
albemarle,US,35.42,-79.92,88.00,45,1.07,1,2019-08-30
sur,OM,20.20,61.86,85.13,49,9.53,81,2019-08-30
labytnangi,RU,67.57,66.33,40.31,93,10.42,96,2019-08-30
prudy,RU,57.80,46.16,61.01,51,4.65,93,2019-08-30
jalu,LY,25.80,25.04,85.85,23,5.91,0,2019-08-30
adjumani,UG,3.34,32.23,69.65,93,4.99,31,2019-08-30
sorland,NO,71.67,9.20,55.40,87,12.75,40,2019-08-30
